lora_rank,learning_rate,num_epochs,lora_dropout,eval_loss_mean,eval_loss_std,perplexity_mean,n_runs
16,0.0001,2,0.05,0.9516019344329834,0.015654827276122267,2.59010969811977,5
16,0.0001,2,0.1,0.9520345807075501,0.01572531394878571,2.591232777467086,5
16,0.0001,3,0.0,0.935628867149353,0.015861571356298308,2.549073039296735,5
16,0.0001,3,0.05,0.9374567270278931,0.01774799873504587,2.553801633550248,5
16,0.0001,3,0.1,0.9368195056915283,0.017458667504142395,2.5521645508192385,5
16,0.0001,5,0.0,0.9368893265724182,0.017740238615201222,2.5523517881509243,5
16,0.0001,5,0.05,0.9378458499908447,0.01669545337099041,2.554757603695018,5
16,0.0001,5,0.1,0.9375829100608826,0.01745330227059261,2.554112602160826,5
16,0.0002,2,0.0,0.9378133535385131,0.016238284449590325,2.554660295374723,5
16,0.0002,2,0.05,0.9385122060775757,0.017417990190595145,2.556487005624014,5
16,0.0002,2,0.1,0.9387768268585205,0.015832730395617684,2.5571090841280553,5
16,0.0002,3,0.0,0.9280331611633301,0.01604865154807526,2.5297897668062634,5
16,0.0002,3,0.05,0.9286595106124877,0.01762121865052452,2.531427907973339,5
16,0.0002,3,0.1,0.9277307629585266,0.016233395399108102,2.5290309298293785,5
16,0.0002,5,0.0,0.9402390718460083,0.017734024276420447,2.560915166789093,5
16,0.0002,5,0.05,0.9387258648872375,0.018048931719102632,2.5570551149216065,5
16,0.0002,5,0.1,0.9404971837997437,0.018220836603392545,2.5615944247516644,5
