run_name,lora_rank,learning_rate,num_epochs,lora_dropout,seed,train_loss,eval_loss,perplexity,runtime_min
sw_0073_r4_lr1e-04_e3_d10_s789,4,0.0001,3,0.1,789,0.9988432505339012,0.9492379426956177,2.5837399509935826,13.39667
sw_0136_r8_lr5e-05_e2_d00_s123,8,5e-05,2,0.0,123,1.1843216737961386,0.9782562255859375,2.65981407992532,8.59562
sw_0214_r8_lr1e-04_e5_d00_s999,8,0.0001,5,0.0,999,0.6930404721734358,0.9676092267036438,2.6316452651565054,20.847368333333335
sw_0166_r8_lr5e-05_e5_d00_s123,8,5e-05,5,0.0,123,0.8399828660934366,0.9476392865180969,2.5796127390352597,20.858841666666667
sw_0087_r4_lr1e-04_e5_d10_s456,4,0.0001,5,0.1,456,0.7772909919208384,0.9644545316696167,2.623356308347014,22.076020000000003
sw_0226_r8_lr2e-04_e2_d00_s123,8,0.0002,2,0.0,123,0.9865702129302816,0.9322404265403748,2.5401939249977783,8.355698333333333
sw_0389_r16_lr2e-04_e3_d10_s999,16,0.0002,3,0.1,999,0.7648285158283995,0.94853276014328,2.5819185849336255,13.015528333333332
sw_0188_r8_lr1e-04_e2_d05_s789,8,0.0001,2,0.05,789,1.0696494668562782,0.9595149755477905,2.610430043921223,8.62311
sw_0157_r8_lr5e-05_e3_d05_s456,8,5e-05,3,0.05,456,1.0549196459605308,0.9815382361412048,2.6685579587131305,13.120936666666667
sw_0240_r8_lr2e-04_e3_d00_s42,8,0.0002,3,0.0,42,0.8270867223089392,0.9255216717720032,2.5231841910543933,12.530046666666667
sw_0119_r4_lr2e-04_e3_d10_s999,4,0.0002,3,0.1,999,0.8856805623533891,0.9652517437934875,2.6254485136561723,13.4034
sw_0058_r4_lr1e-04_e2_d10_s789,4,0.0001,2,0.1,789,1.1313597454744226,0.974077045917511,2.648721434225309,9.028936666666668
sw_0086_r4_lr1e-04_e5_d10_s123,4,0.0001,5,0.1,123,0.7753131621661671,0.9364442229270935,2.5508948595574474,22.07444333333333
sw_0156_r8_lr5e-05_e3_d05_s123,8,5e-05,3,0.05,123,1.054032902135356,0.9514527320861816,2.5894687325054973,12.924303333333334
sw_0277_r16_lr5e-05_e2_d05_s456,16,5e-05,2,0.05,456,1.1057735381916882,0.9837430119514465,2.6744480214967186,8.669021666666668
sw_0005_r4_lr5e-05_e2_d05_s42,4,5e-05,2,0.05,42,1.266877342672909,1.0100558996200562,2.745754497360244,8.944338333333333
sw_0120_r4_lr2e-04_e5_d00_s42,4,0.0002,5,0.0,42,0.6542658191313718,0.9294930696487427,2.533224683592191,21.559935
sw_0178_r8_lr5e-05_e5_d10_s789,8,5e-05,5,0.1,789,0.8408486386671423,0.9584981203079224,2.6077769635806813,21.575201666666665
sw_0363_r16_lr2e-04_e2_d00_s789,16,0.0002,2,0.0,789,0.9269617968064578,0.9303987622261047,2.5355200456742075,8.447336666666667
sw_0063_r4_lr1e-04_e3_d00_s789,4,0.0001,3,0.0,789,0.9949020544687907,0.9488143920898438,2.582645838094624,13.030351666666666
sw_0381_r16_lr2e-04_e3_d05_s123,16,0.0002,3,0.05,123,0.7648634017045061,0.904160737991333,2.4698581948288187,12.970058333333332
sw_0273_r16_lr5e-05_e2_d00_s789,16,5e-05,2,0.0,789,1.1087424818844718,0.9694309234619141,2.636443694119204,8.592396666666668
sw_0040_r4_lr5e-05_e5_d10_s42,4,5e-05,5,0.1,42,0.9398680712449997,0.9575300812721252,2.6052537551624466,22.031715000000002
sw_0365_r16_lr2e-04_e2_d05_s42,16,0.0002,2,0.05,42,0.9276252124398787,0.9266421794891357,2.526013022980243,8.670586666666667
sw_0125_r4_lr2e-04_e5_d05_s42,4,0.0002,5,0.05,42,0.6536336307219643,0.9272159337997437,2.527462749694535,22.092871666666667
sw_0307_r16_lr5e-05_e5_d05_s456,16,5e-05,5,0.05,456,0.7512137994409245,0.9618901610374451,2.6166376686950845,21.71068
sw_0358_r16_lr1e-04_e5_d10_s789,16,0.0001,5,0.1,789,0.621820848383368,0.9371650218963623,2.5527342047623574,21.61301166666667
sw_0014_r4_lr5e-05_e2_d10_s999,4,5e-05,2,0.1,999,1.265225295714516,1.0369478464126587,2.8205949740807292,8.956439999999999
sw_0114_r4_lr2e-04_e3_d05_s999,4,0.0002,3,0.05,999,0.8849969226833758,0.9691458940505981,2.6356923372095973,13.39218
sw_0044_r4_lr5e-05_e5_d10_s999,4,5e-05,5,0.1,999,0.934992098680792,0.9914559721946716,2.6951556888087107,22.046201666666665
sw_0366_r16_lr2e-04_e2_d05_s123,16,0.0002,2,0.05,123,0.9316663104582598,0.9219828844070435,2.514270959037755,8.667055
sw_0134_r4_lr2e-04_e5_d10_s999,4,0.0002,5,0.1,999,0.6501197965387354,0.966864287853241,2.6296855803713015,22.004716666666663
sw_0211_r8_lr1e-04_e5_d00_s123,8,0.0001,5,0.0,123,0.6994380563338173,0.9277076721191406,2.5287059056080583,20.883513333333333
sw_0128_r4_lr2e-04_e5_d05_s789,4,0.0002,5,0.05,789,0.6510643035970269,0.9409422278404236,2.5623946408167577,22.030433333333335
sw_0271_r16_lr5e-05_e2_d00_s123,16,5e-05,2,0.0,123,1.110427797796892,0.958713710308075,2.6083392348245087,8.432746666666667
sw_0004_r4_lr5e-05_e2_d00_s999,4,5e-05,2,0.0,999,1.2642817395256165,1.0357080698013306,2.8171002331984702,8.719850000000001
sw_0385_r16_lr2e-04_e3_d10_s42,16,0.0002,3,0.1,42,0.7634288731318319,0.9216083288192749,2.513329401144776,13.018220000000001
sw_0186_r8_lr1e-04_e2_d05_s123,8,0.0001,2,0.05,123,1.0772097480488334,0.9478933215141296,2.5802681341903146,8.619411666666668
sw_0147_r8_lr5e-05_e2_d10_s456,8,5e-05,2,0.1,456,1.1831790036696164,1.0081254243850708,2.7404589993601896,8.695403333333333
sw_0346_r16_lr1e-04_e5_d00_s123,16,0.0001,5,0.0,123,0.6189177569221048,0.9162510633468628,2.4999008306487336,21.068891666666666
sw_0329_r16_lr1e-04_e2_d10_s999,16,0.0001,2,0.1,999,1.0142994819477917,0.9751220941543579,2.651490922762549,8.699796666666666
sw_0089_r4_lr1e-04_e5_d10_s999,4,0.0001,5,0.1,999,0.7712414731316388,0.9749397039413452,2.651007360868164,22.065296666666665
sw_0149_r8_lr5e-05_e2_d10_s999,8,5e-05,2,0.1,999,1.1913577401064297,1.014680027961731,2.75848061948535,8.61524
sw_0037_r4_lr5e-05_e5_d05_s456,4,5e-05,5,0.05,456,0.9381938750731116,0.9773497581481934,2.657404137503598,22.016891666666666
